Competition,Award Category,Year,Item,Original Name,Name,Data Processing,Brief Comments,Data Source Label Location,Original Content,Translated Text,Manual,Machine,Rank,Link
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Some signs,Blur processing,Text,我们将诗歌的情感值划分了零到一百的区间。,We divide the sentiment value of poetry into the range of zero to one hundred.,Some signs,Some signs,2,
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Some signs,Relatively clear,Text,我们想利用数据可视化建立起藏汉文化交流的桥梁，促进藏文化的传播。,We want to use data visualization to build a bridge between Tibetan and Chinese cultural exchanges and promote the spread of Tibetan culture.,Unclear,Some signs,3,
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Clearly marked,Clearly stated,Picture annotation,仓央嘉措诗歌可视化：仓央嘉措是藏族地区的著名诗人，我们把他的64首诗歌的情绪与词频做了统计分析，从理性的角度来观察诗歌的情感表达。,"Visualization of Cangyang Gyatso's Poetry: Cangyang Gyatso is a famous poet in the Tibetan area. We made a statistical analysis of the mood and word frequency of his 64 poems, and observed the emotional expression of the poems from a rational point of view.",Unclear,Clear,4.5,
China Data Content Competition,Best data content,2021,Silver award,何以安居？7478个关于烂尾楼的等待,How to settle down? 7478 waiting for unfinished buildings,Some signs,Relatively clear,Text,在烂尾楼投诉留言中，能识别出建楼、购房、停工或承诺交房年份的共有2829条。如果用这个时间点与投诉者留言的年份相减，我们可以大致估计出某处楼房的烂尾时长…,"In the complaint messages of unfinished buildings, there are 2829 items that can identify the year of construction, purchase, suspension or promise of delivery. If this time point is subtracted from the year of the complainant's message, we can roughly estimate the length of the unfinished building in a certain building...",Unclear,Some signs,2,https://www.thepaper.cn/newsDetail_forward_9096385
China Data Content Competition,Best data content,2021,Silver award,何以安居？7478个关于烂尾楼的等待,How to settle down? 7478 waiting for unfinished buildings,Not clearly marked,Blur processing,Text,对可以识别出住房类型的留言信息进行归纳整理后,After summarizing and sorting out the message information that can identify the housing type,,,1,
China Data Content Competition,Best data content,2021,Silver award,何以安居？7478个关于烂尾楼的等待,How to settle down? 7478 waiting for unfinished buildings,Some signs,Relatively clear,Picture annotation,对回复文本进行分词后，对动词进行了提取，,"After segmenting the reply text, extract the verbs,",,,3.5,
China Data Content Competition,Best data content,2021,Silver award,何以安居？7478个关于烂尾楼的等待,How to settle down? 7478 waiting for unfinished buildings,Not clearly marked,Blur processing,Picture annotation,文本中以“烂尾xx年”方式表述的，则以提问年份反推出停工年份。留言中可能提及多个时间点，包括楼盘开始建设年份、购房年份、停工年份和承诺交房年份，此处统一选取最早的时间为起点。,"If the text is expressed in the form of ""unfinished xx years"", the year of suspension is reversed based on the year of the question. There may be multiple time points mentioned in the message, including the year when the real estate construction started, the year when the house was purchased, the year when construction was stopped, and the year when the house was promised to be delivered. Here, the earliest time is selected as the starting point.",,,2,
China Data Content Competition,Best data content,2021,Silver award,何以安居？7478个关于烂尾楼的等待,How to settle down? 7478 waiting for unfinished buildings,Not clearly marked,Blur processing,Picture annotation,因为经济适用房中除了集资房外还包括其他部分，为了避免信息损耗，这里将两种住房类型分开呈现。,"Because the affordable housing includes other parts besides the fund-raising housing, in order to avoid information loss, the two housing types are presented separately here.",,,2,
China Data Content Competition,Best data content,2021,Silver award,何以安居？7478个关于烂尾楼的等待,How to settle down? 7478 waiting for unfinished buildings,Some signs,Relatively clear,Picture annotation,部分回复未能成功提取。原因在关键词词频的基础上进行了归纳，,"Part of the reply was not successfully extracted. The reasons are summarized on the basis of the frequency of keywords,",,,2,
China Data Content Competition,Best data content,2021,Silver award,何以安居？7478个关于烂尾楼的等待,How to settle down? 7478 waiting for unfinished buildings,Not clearly marked,Blur processing,Picture annotation,在关键词词频的基础上进行了归纳，如,"It is summarized on the basis of the frequency of keywords, such as",,,3.5,
China Data Content Competition,Best data content,2021,Silver award,何以安居？7478个关于烂尾楼的等待,How to settle down? 7478 waiting for unfinished buildings,Some signs,Relatively clear,Picture annotation,:对回复文本进行分词后，对动词进行了提取，," After segmenting the reply text, extract the verbs,",,,3.5,
China Data Content Competition,Best data content,2021,Silver award,何以安居？7478个关于烂尾楼的等待,How to settle down? 7478 waiting for unfinished buildings,Some signs,Relatively clear,Picture annotation,数据说明:在统计过程中删除了系统自动好评的数据。,Data description: The data automatically praised by the system has been deleted during the statistical process.,,,2.5,
China Data Content Competition,Best data content,2021,Silver award,被拐的她们：1252段被标价的人生,The abducted them: 1252 life quoted,Clearly marked,Relatively clear,Text,以 “拐卖妇女”作为检索案由，共得到涉及拐卖妇女的有效裁判文书616份。,"Using ""abduction and trafficking of women"" as the reason for the search, a total of 616 valid judgment documents involving the abduction and trafficking of women were obtained.",Unclear,Clear,4.5,https://1252abductedwomen.wixsite.com/theirtraffickedlife
China Data Content Competition,Best data content,2021,Silver award,被拐的她们：1252段被标价的人生,The abducted them: 1252 life quoted,Clearly marked,Relatively clear,Picture annotation,拐卖者和收买者对妇女明码标价，且数额差异巨大：最低200元，最高256000元。,"Traffickers and buyers clearly mark prices for women, and the amounts vary greatly: the minimum is 200 yuan and the maximum is 256,000 yuan.",Unclear,Clear,4.5,
China Data Content Competition,Best data content,2021,Silver award,被拐的她们：1252段被标价的人生,The abducted them: 1252 life quoted,Clearly marked,Relatively clear,Picture annotation,在判决发生法律效力的1092名犯罪分子中，被判处五年以上有期徒刑、无期徒刑的共有729人，重刑率达到66.76%，,"Among the 1,092 criminals whose verdicts were legally effective, 729 were sentenced to more than five years of fixed-term imprisonment and life imprisonment, and the severe sentence rate reached 66.76%.",Unclear,Clear,4.5,
China Data Content Competition,Best data content,2021,Bronze Award,“她”杀：困在爱恨牢笼里的致命女人,"""She"" Killing: A deadly woman trapped in a cage of love and hate",Some signs,Relatively clear,Picture annotation,杀子案件的女性相对年轻，集中于26-29岁，杀夫案件的女性多为中年女性，集中于42-45岁。,"Women in murder cases are relatively young, mostly between the ages of 26 and 29, while women in murder cases are mostly middle-aged women, mostly between the ages of 42 and 45.",Unclear,Some signs,4,https://serverless-page-bucket-xgd7eubk-1306640786.cos-website.ap-beijing.myqcloud.com
China Data Content Competition,Best data content,2021,Bronze Award,“她”杀：困在爱恨牢笼里的致命女人,"""She"" Killing: A deadly woman trapped in a cage of love and hate",Some signs,Relatively clear,Picture annotation,杀害子女的比例最高，为32%。,"The rate of killing children is the highest, at 32%.",Unclear,Some signs,4,
China Data Content Competition,Best data content,2021,Bronze Award,“她”杀：困在爱恨牢笼里的致命女人,"""She"" Killing: A deadly woman trapped in a cage of love and hate",Clearly marked,Relatively clear,Text,最高人民法院数据显示，2010-2019年间，女性罪犯所占比重从5.3%上升到10.3%，,"According to data from the Supreme People’s Court, between 2010 and 2019, the proportion of female offenders rose from 5.3% to 10.3%.",Clear,None,1,
China Data Content Competition,Best data content,2021,Bronze Award,450位“福利姬”的性与生 ​——色情与金钱诱惑,The Sex and Life of 450 "Fuli  Ji" ​——Pornography and the Temptation of Money,Not clearly marked,Blur processing,Picture annotation,福利姬的推特账户粉丝数量整理分析得出,The number of followers of Welfare Ji’s Twitter account is sorted out and analyzed,Unclear,Some signs,2,https://3588821151.wixsite.com/fljsjxw
China Data Content Competition,Best data content,2021,Bronze Award,450位“福利姬”的性与生 ​——色情与金钱诱惑,The Sex and Life of 450 "Fuli  Ji" ​——Pornography and the Temptation of Money,Some signs,Relatively clear,Picture annotation,根据国内媒体共近3万字的福利姬报道内容进行的词频分析,"Word frequency analysis based on the content of Welfare Ji's report of nearly 30,000 words in domestic media",Unclear,Some signs,3.5,
China Data Content Competition,Best data content,2021,Bronze Award,450位“福利姬”的性与生 ​——色情与金钱诱惑,The Sex and Life of 450 "Fuli  Ji" ​——Pornography and the Temptation of Money,Some signs,Relatively clear,Text,从3万字的文本分析中可以看出…根据文本分析数据,"It can be seen from the text analysis of 30,000 words...According to the text analysis data",Unclear,Some signs,3.5,
China Data Content Competition,Best data content,2021,Bronze Award,450位“福利姬”的性与生 ​——色情与金钱诱惑,The Sex and Life of 450 "Fuli  Ji" ​——Pornography and the Temptation of Money,Some signs,Relatively clear,Picture annotation,根据个人介绍中的词汇整理，为保证多样性未做明确归类，每一个数据均为独立个体，即大二不包括在在读大学生中,"According to the vocabulary in the personal introduction, in order to ensure the diversity, no clear classification is made. Each data is an independent individual, that is, the sophomore is not included in the college students",Unclear,Some signs,3.5,
China Data Content Competition,Best data content,2021,Bronze Award,450位“福利姬”的性与生 ​——色情与金钱诱惑,The Sex and Life of 450 "Fuli  Ji" ​——Pornography and the Temptation of Money,Not clearly marked,Blur processing,Picture annotation,考虑到年龄的精准度，在此并没有做出统一划分,"Considering the accuracy of age, no unified division is made here",Unclear,Some signs,1,
China Data Content Competition,Best data content,2021,Bronze Award,450位“福利姬”的性与生 ​——色情与金钱诱惑,The Sex and Life of 450 "Fuli  Ji" ​——Pornography and the Temptation of Money,Not clearly marked,Blur processing,Text,比较为圈内人熟知的有五个账号（此处做匿名处理）,There are five accounts that are relatively well-known to people in the circle (here to be anonymized),Unclear,Some signs,1,
China Data Content Competition,Best data content,2021,Bronze Award,450位“福利姬”的性与生 ​——色情与金钱诱惑,The Sex and Life of 450 "Fuli  Ji" ​——Pornography and the Temptation of Money,Not clearly marked,Blur processing,Picture annotation,以传播淫秽物品为案由在裁判文书网中收集整理分析得出,Collected and analyzed in the Judgment Document Network on the grounds of spreading obscene materials,Unclear,Some signs,1,
China Data Content Competition,Best data content,2021,Bronze Award,我们与癌的距离：癌症真的年轻化了吗？,The distance between us and cancer: Is cancer really younger?,Clearly marked,Relatively clear,Text,全国肿瘤登记中心的统计数据显示，2000 年，我国 20 - 39 岁年龄组的肿瘤发病率为 39.22/10 万。2013 年，这一数字则增长到了 70.01 / 10 万，增长了近 80%。如果以 2013 年的人口统计数据为基数进行计算，我国每年都会有 30 万名年轻人罹患癌症。,"Statistics from the National Cancer Registry show that in 2000, the incidence of tumors in the 20-39 age group in my country was 39.22 per 100,000. In 2013, this number increased to 70.01/100,000, an increase of nearly 80%. If calculated based on the demographic data of 2013, 300,000 young people in my country will suffer from cancer every year.",Clear,None,0,https://mp.weixin.qq.com/s/rIjXJ4gS0n8SR5Q97YT9pw
China Data Content Competition,Best data content,2021,Bronze Award,我们与癌的距离：癌症真的年轻化了吗？,The distance between us and cancer: Is cancer really younger?,Clearly marked,Relatively clear,Text,国家癌症中心发布的《2019 年中国最新癌症报告》显示，2015 年，我国恶性肿瘤发病人数约 392.9 万，死亡约 233.8 万。其中，每年新增的年轻癌症病人约 30 万。,"According to the ""China's Latest Cancer Report 2019"" issued by the National Cancer Center, in 2015, the number of malignant tumors in my country was about 3.929 million, and the deaths were about 2.338 million. Among them, about 300,000 young cancer patients are newly added every year.",Clear,None,0,
China Data Content Competition,Best data content,2021,Bronze Award,我们与癌的距离：癌症真的年轻化了吗？,The distance between us and cancer: Is cancer really younger?,Clearly marked,Relatively clear,Text,从 1998 年至 2012 年，世界卫生组织采用我国上海、香港、嘉善、中山、哈尔滨五地的癌症统计数据，发现我国年轻人患癌率逐渐升高，且在 25-39 岁的年龄区间内，女性患癌率明显高于男性。以 2012 年为例，25-29 岁、30-34 岁、35-39 岁的女性患癌率分别为 47.5/10 万、81.3/10 万、151.5/10 万；而男性患癌率为 31.9/10 万、55.5/10 万、81.4/10 万。,"From 1998 to 2012, the World Health Organization used my country’s cancer statistics from Shanghai, Hong Kong, Jiashan, Zhongshan, and Harbin, and found that the prevalence of cancer among young people in my country has gradually increased, and it is in the age range of 25-39. The cancer rate of women is significantly higher than that of men. Taking 2012 as an example, the cancer rates of women aged 25-29, 30-34, and 35-39 were 47.5/100,000, 81.3/100,000, and 151.5/100,000, respectively; while the cancer rate of men was 31.9/ 100,000, 55.5/100,000, 81.4/100,000.",Clear,None,0,
China Data Content Competition,Best data content,2021,Bronze Award,我们与癌的距离：癌症真的年轻化了吗？,The distance between us and cancer: Is cancer really younger?,Some signs,Relatively clear,Picture annotation,从数据中也可以看出，从1998年到2012年，我国年轻女性乳腺癌发病率从9.9/10万上升到12.2/10万。,"It can also be seen from the data that from 1998 to 2012, the incidence of breast cancer in young women in my country rose from 9.9 per 100,000 to 12.2 per 100,000.",None,Clear,4,
China Data Content Competition,Best data content,2021,Bronze Award,我们与癌的距离：癌症真的年轻化了吗？,The distance between us and cancer: Is cancer really younger?,Clearly marked,Relatively clear,Text,《柳叶刀》在 2019 年刊载的一篇论文列出了目前我国 23 种主要的潜在致癌风险，囊括了行为、感染、代谢、饮食和环境五个方面。其中，吸烟、体重超标和人乳头瘤病毒感染的致癌风险最为严峻。据研究，吸烟与肺癌、肝癌在内的 12 种癌症有关；,"A paper published in The Lancet in 2019 lists the current 23 major potential carcinogenic risks in my country, covering five aspects: behavior, infection, metabolism, diet, and environment. Among them, smoking, excess weight and human papillomavirus infection have the most serious carcinogenic risks. According to research, smoking is related to 12 types of cancers including lung cancer and liver cancer;",Clear,None,0,
China Data Content Competition,Best data content,2021,Bronze Award,我们与癌的距离：癌症真的年轻化了吗？,The distance between us and cancer: Is cancer really younger?,Clearly marked,Relatively clear,Text,在知乎上，一个名为《年轻人得癌症是一种怎样的体验》的提问，为了解这些癌症青年提供了一扇窗口。我们收集了问题下的 2068 个回答进行词频统计。,"On Zhihu, a question titled ""What kind of experience is it for young people to get cancer"" provides a window for understanding these young people with cancer. We collected 2068 answers under the question for word frequency statistics.",None,Clear,4.5,
China Data Content Competition,Best Information Design Poster,2021,Gold Award,方圆之迹,Trace of radius,Clearly marked,Relatively clear,Picture annotation,"作品通过可视化叙事方法,以动态信息设计为主，","The works adopt visual narrative methods, and are mainly designed with dynamic information.",Unclear,Clear,5,https://www.zcool.com.cn/work/ZNTQwMjI0MzY=.html
China Data Content Competition,Best Information Design Poster,2021,Silver award,《建党百年》中国共产党发展历程信息可视化设计,A Hundred Years of the Founding of the Party Information Visualization Design of the Development History of the Communist Party of China,Clearly marked,Clearly stated,Text,《“建党百年”信息可视化设计》作品运用信息设计、平面设计、动态影像等多元化的设计手法。,"The One Hundred Years of the Founding of the Party"" Information Visualization Design"" work uses diversified design techniques such as information design, graphic design, and dynamic images.",Unclear,Clear,5,https://www.behance.net/gallery/127556287/_
China Data Content Competition,Best Information Design Poster,2021,Silver award,大辽舆仪·辽代车马仪仗制度信息图设计,Design of Information Diagram of Daliao Yuyi·Liao Dynasty Carriage and Horse Honor Guard System,Some signs,Clearly stated,Picture annotation,辽代车马仪仗制度信息图设计主要视觉形象为信息插图。,The main visual image of the information graphic design of the honour guard system of the Liao Dynasty is the information illustration.,Unclear,Some signs,4,https://www.zcool.com.cn/work/ZNTQwNzYzMTI=.html
China Data Content Competition,Best Information Design Poster,2021,Silver award,诗歌·女性,Poetry·Women,Clearly marked,Relatively clear,Picture annotation,信息图表根据表述女性对象的年龄阶段、社会阶级、社会背景、社会地位以及所创作诗歌的诗人背景、词派等角度说明女性地位在中国传统社会的变化与社会对女性形象的影响。,"The infographics illustrate the changes in the status of women in traditional Chinese society and the influence of society on the image of women based on the age stage, social class, social background, and social status of female subjects, as well as the background of poets and ci genres of the poetry they wrote.",Unclear,Clear,5,https://www.zcool.com.cn/work/ZNTQxMTM2ODA=.html
China Data Content Competition,Best Information Design Poster,2021,Bronze Award,凤冠霞帔——宋朝婚嫁服饰信息可视化设计,Feng Guan Xia Lin——Visual Design of Song Dynasty Wedding Dress Information,Clearly marked,Relatively clear,Picture annotation,借助信息可视化设计的方式使其以现代化的规觉表现方式呈现于大众视好之中。,"With the help of information visualization design, it is presented in the public's favor in a modern way of conscious expression.",Unclear,Clear,4,https://m.weibo.cn/7360794060/4636545766920005
China Data Content Competition,Best mobile information design,2021,Bronze Award,探究中国百年轨道交通发展——从时速600公里高速磁浮交通系统入手,Exploring the development of rail transit in China over the past century-starting with a high-speed maglev transportation system at a speed of 600 kilometers per hour,Some signs,Relatively clear,Picture annotation,滑动鼠标滚轮获取全部图表，点击可获得更佳的交互体验。,"Slide the mouse wheel to get all the charts, and click to get a better interactive experience.",Unclear,Clear,4.5,https://economy.gmw.cn/2021-07/28/content_35034753.htm
China Data Content Competition,Best data video,2021,Gold Award,沙尘暴频袭下，中国的天空保卫战输了吗？,"Under frequent sandstorms, has China lost its battle to defend the sky?",Not clearly marked,NA,NA,NA,NA,Unclear,Unclear,0,https://news.cgtn.com/news/2021-07-07/Did-Beijing-fail-air-pollution-battle-due-to-sandstorms--11G4s5sNV3a/index.html
China Data Content Competition,Best data video,2021,Gold Award,从千米高空看武汉经济复苏，这份光明，人人都有贡献力量！,"Looking at Wuhan’s economic recovery from a height of 1,000 meters, everyone has contributed to this brightness!",Some signs,Blur processing,Picture annotation,Data Speaks is a six-episode series that analyzes China's economic growth from different perspectives. The sixth one looks at Wuhan's economic recovery through satellite maps.  ,Data Speaks is a six-episode series that analyzes China's economic growth from different perspectives. The sixth one looks at Wuhan's economic recovery through satellite maps.  ,Unclear,Some signs,4,https://news.cgtn.com/news/2021-03-10/Satellite-maps-reveal-Wuhan-s-tough-journey-of-economic-recovery-Yw9lT9Ysdq/index.html
China Data Content Competition,Best data video,2021,Bronze Award,数据可视化全球恐怖主义袭击,Data visualization of global terrorist attacks,Some signs,Relatively clear,Text,我们把这些坐标放在了一张地图上，地图上的每个亮点都代表着数据库记录的一次恐怖袭击。,"We put these coordinates on a map, and each bright spot on the map represents a terrorist attack recorded in the database.",None,Some signs,3.5,https://www.bilibili.com/video/BV1yv411k7Rq/
China Data Content Competition,Best data video,2021,Bronze Award,数据可视化全球恐怖主义袭击,Data visualization of global terrorist attacks,Some signs,Blur processing,Text,我们把2001年至2018年的数据提取了出来,We extracted the data from 2001 to 2018,Unclear,Some signs,3.5,
China Data Content Competition,Best data video,2021,Bronze Award,数据可视化全球恐怖主义袭击,Data visualization of global terrorist attacks,Clearly marked,Clearly stated,Picture annotation,数据地图制作 影像化,Data map production and imaging,None,Clear,4,
China Data Content Competition,Best mobile interaction design,2021,Gold Award,东京奥运会前，我们让所有奥运冠军一起PK了一把,"Before the Tokyo Olympics, we let all the Olympic champions fight together",Clearly marked,Clearly stated,Text,我们以每个项目首次进入奥运会的成绩为标准值，将历届奥运会冠军成绩相连，绘制出一根根成绩线。纵坐标表示选手在其比赛项目上的长度、高度或速度成绩，位置越高则成绩提升越快。,"We take the performance of each event entering the Olympic Games for the first time as the standard value, which links the results of previous Olympic champions, draws make a grade line. The ordinate indicates that the player is the length, height, or speed scores in the event, position, the higher the setting, the faster the performance will improve. ",Unclear,Clear,4.5,https://h5.thepaper.cn/html/zt/2021/07/aoyun/index.html
China Data Content Competition,Best mobile interaction design,2021,Silver award,爆款新春歌曲调配指南,Hot New Year Songs Mixing Guide,Not clearly marked,NA,NA,NA,NA,Unclear,Unclear,1,http://h5.thepaper.cn/html/zt/2021/02/xcgq/index.html
China Data Content Competition,Best mobile interaction design,2021,Bronze Award,数完14天里用的所有塑料后，我沉默了……,"After counting all the plastic used in 14 days, I was silent...",Not clearly marked,NA,NA,NA,NA,Some signs,None,0,http://h5.thepaper.cn/html/zt/2021/01/suliao/index.html
China Data Content Competition,Best big screen application,2021,Gold Award,11699位患者和我们的这一年,11699 patients and our year,Some signs,Relatively clear,Picture annotation,恰逢春运期间，人们流动频繁，疫情随着“人传人”就这么扩散开来。这里的每棵树代表一簇有传染关系的患者们。树干的两端连着两名患者，上面移动的光点是传染方向，没有光点则说明这两名患者只是接触、但不一定谁传给谁。一共有1191条树干带着光点，635条树干没有光点。,"During the Spring Festival travel season, people moved frequently, and the epidemic spread with ""person-to-person transmission."" Each tree here represents a cluster of infected patients. Two patients are connected to the two ends of the trunk, and the light spots moving on it are the direction of infection. The absence of light spots means that the two patients are only in contact, but not necessarily from one to the other. There are 1,191 tree trunks with light spots, and 635 tree trunks without light spots.",Unclear,Some signs,4.5,http://h5.thepaper.cn/html/zt/2020/12/liudiao/index.html
China Data Content Competition,Best big screen application,2021,Gold Award,11699位患者和我们的这一年,11699 patients and our year,Some signs,Relatively clear,Picture annotation,疫情暴发的初期，人们最关注的，是和武汉有过接触史的患者。图中高亮的52条传染链，最开始的传染源都曾到过武汉。,"At the beginning of the outbreak, people were most concerned about patients who had been in contact with Wuhan. In the 52 infection chains highlighted in the picture, the original source of infection has been to Wuhan.",Unclear,Some signs,4.5,
China Data Content Competition,Best big screen application,2021,Gold Award,11699位患者和我们的这一年,11699 patients and our year,Some signs,Relatively clear,Picture annotation,转眼间，我们也和疫情相处了一年。但人们的记忆总是不断在更新，疫情的挑战仍散发出现，过去这些关于疫情的细节也不应该被轻易忘记。,"In a blink of an eye, we also spent a year with the epidemic. However, people's memories are constantly being updated, and the challenges of the epidemic are still emerging. These details about the epidemic in the past should not be easily forgotten.",Unclear,Some signs,4.5,
China Data Content Competition,Best big screen application,2021,Silver award,从“跑马圈地”到“精耕细作”——政策指导下垃圾焚烧行业的变革,From "Enclosure" to "Intensive Cultivation"——The Reform of Waste Incineration Industry under the Guidance of Policies,Clearly marked,Relatively clear,Text,2020年10月21日，财政部下发关于《关于促进非水可再生能源发电健康发展的若干意见》有关事项的补充通知，在可再生能源发电项目享受15年国补期限后又增设限制，即生物质发电项目全生命周期合理利用小时数为82500小时。,"On October 21, 2020, the Ministry of Finance issued a supplementary notice on ""Several Opinions on Promoting the Healthy Development of Non-aqueous Renewable Energy Power Generation"". It added restrictions after the 15-year national supplementary period for renewable energy power generation projects, namely The reasonable utilization hours of the biomass power generation project in the whole life cycle are 82500 hours.",Clear,None,0,https://serverless-page-bucket-sw6mg6ev-1306669764.cos-website.ap-beijing.myqcloud.com
China Data Content Competition,Best big screen application,2021,Silver award,从“跑马圈地”到“精耕细作”——政策指导下垃圾焚烧行业的变革,From "Enclosure" to "Intensive Cultivation"——The Reform of Waste Incineration Industry under the Guidance of Policies,Some signs,Relatively clear,Picture annotation,2019年是我国垃圾焚烧行业新增项目最多的一年，也是项目投产运行的最高峰，预计未来的这一数据将有所下滑。,"2019 is the year with the largest number of new projects in my country's waste incineration industry, and it is also the peak of project commissioning. It is expected that this data will decline in the future.",Unclear,Some signs,3,
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Text,"据食品安全风险监测统计年报数据，从2011到2019年，九年间共计发生食源性疾病暴发事件27,438起，总体呈逐年上升趋势。","According to the annual report of food safety risk monitoring statistics, from 2011 to 2019, a total of 27,438 food-borne disease outbreaks occurred during the nine years, and the overall trend is increasing year by year.",Clear,None,0,https://www.thepaper.cn/newsDetail_forward_11748583
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Text,《2020年中国卫生健康统计年鉴》显示，2018年与2019年，致病因素明确的食源性疾病暴发事件分别有3580起和3567起，占比54.8%和55.9%，而致病因素尚未明确的则还有2857件和2818件，占比45.2%和44.1%,"According to the China Health Statistics Yearbook 2020, in 2018 and 2019, there were 3,580 and 3,567 food-borne disease outbreaks with clear pathogenic factors, accounting for 54.8% and 55.9%, while the pathogenic factors are not yet clear. There are 2857 cases and 2818 cases, accounting for 45.2% and 44.1%",Clear,None,0,
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Text,据《2015年中国大陆食源性疾病暴发事件监测资料》显示，在已查明原因食品事件中，除了毒蘑菇外，蔬菜类和肉类食品引起发病占比最高，分别为12%和13%。,"According to the Monitoring Data on Foodborne Disease Outbreaks in Mainland China in 2015, among the food incidents that have been identified, in addition to poisonous mushrooms, vegetables and meat foods accounted for the highest proportion of cases, at 12% and 13%, respectively. .",Clear,None,0,
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Picture annotation,从地域分布来看，湖南、云南、贵州、四川等西南、华中地区是蘑菇中毒事件高发区，共计发生466起事件，导致1181名患者中毒，18人死亡；,"In terms of geographical distribution, Hunan, Yunnan, Guizhou, Sichuan and other southwestern and central China regions are areas with high incidence of mushroom poisoning. A total of 466 incidents occurred, resulting in 1181 patients with poisoning and 18 deaths;",None,Clear,4,
